id,title,text,text_norm
1,experimental investigation of the aerodynamics of a wing in a slipstream .,"experimental investigation of the aerodynamics of a wing in a slipstream . an experimental study of a wing in a propeller slipstream was made in order to determine the spanwise distribution of the lift increase due to slipstream at different angles of attack of the wing and at different free stream to slipstream velocity ratios . the results were intended in part as an evaluation basis for different theoretical treatments of this problem . the comparative span loading curves, together with supporting evidence, showed that a substantial part of the lift increment produced by the slipstream was due to a /destalling/ or boundary-layer-control effect . the integrated remaining lift increment, after subtracting this destalling lift, was found to agree well with a potential flow theory . an empirical evaluation of the destalling effects was made for the specific configuration of the experiment .",experiment investig aerodynam wing slipstream experiment studi wing propel slipstream made order determin spanwis distribut lift increas due slipstream differ angl attack wing differ free stream slipstream veloc ratio result intend part evalu basi differ theoret treatment problem compar span load curv togeth support evid show substanti part lift increment produc slipstream due destal boundari layer control effect integr remain lift increment subtract destal lift found agre well potenti flow theori empir evalu destal effect made specif configur experi
2,simple shear flow past a flat plate in an incompressible fluid of small viscosity .,"simple shear flow past a flat plate in an incompressible fluid of small viscosity . in the study of high-speed viscous flow past a two-dimensional body it is usually necessary to consider a curved shock wave emitting from the nose or leading edge of the body . consequently, there exists an inviscid rotational flow region between the shock wave and the boundary layer . such a situation arises, for instance, in the study of the hypersonic viscous flow past a flat plate . the situation is somewhat different from prandtl's classical boundary-layer problem . in prandtl's original problem the inviscid free stream outside the boundary layer is irrotational while in a hypersonic boundary-layer problem the inviscid free stream must be considered as rotational . the possible effects of vorticity have been recently discussed by ferri and libby . in the present paper, the simple shear flow past a flat plate in a fluid of small viscosity is investigated . it can be shown that this problem can again be treated by the boundary-layer approximation, the only novel feature being that the free stream has a constant vorticity . the discussion here is restricted to two-dimensional incompressible steady flow .",simpl shear flow past flat plate incompress fluid small viscos studi high speed viscou flow past two dimension bodi usual necessari consid curv shock wave emit nose lead edg bodi consequ exist inviscid rotat flow region shock wave boundari layer situat aris instanc studi hyperson viscou flow past flat plate situat somewhat differ prandtl classic boundari layer problem prandtl origin problem inviscid free stream outsid boundari layer irrot hyperson boundari layer problem inviscid free stream must consid rotat possibl effect vortic recent discuss ferri libbi present paper simpl shear flow past flat plate fluid small viscos investig shown problem treat boundari layer approxim novel featur free stream constant vortic discuss restrict two dimension incompress steadi flow
3,the boundary layer in simple shear flow past a flat plate .,the boundary layer in simple shear flow past a flat plate . the boundary-layer equations are presented for steady incompressible flow with no pressure gradient .,boundari layer simpl shear flow past flat plate boundari layer equat present steadi incompress flow pressur gradient
4,approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow .,"approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow . the two-dimensional steady boundary-layer problem for a flat plate in a shear flow of incompressible fluid is considered . solutions for the boundary- layer thickness, skin friction, and the velocity distribution in the boundary layer are obtained by the karman-pohlhausen technique . comparison with the boundary layer of a uniform flow has also been made to show the effect of vorticity .",approxim solut incompress laminar boundari layer equat plate shear flow two dimension steadi boundari layer problem flat plate shear flow incompress fluid consid solut boundari layer thick skin friction veloc distribut boundari layer obtain karman pohlhausen techniqu comparison boundari layer uniform flow also made show effect vortic
5,one-dimensional transient heat conduction into a double-layer slab subjected to a linear heat input for a small time internal .,"one-dimensional transient heat conduction into a double-layer slab subjected to a linear heat input for a small time internal . analytic solutions are presented for the transient heat conduction in composite slabs exposed at one surface to a triangular heat rate . this type of heating rate may occur, for example, during aerodynamic heating .",one dimension transient heat conduct doubl layer slab subject linear heat input small time intern analyt solut present transient heat conduct composit slab expos one surfac triangular heat rate type heat rate may occur exampl aerodynam heat
6,one-dimensional transient heat flow in a multilayer slab .,"one-dimensional transient heat flow in a multilayer slab . in a recent contribution to the readers' forum wassermann gave analytic solutions for the temperature in a double layer slab, with a triangular heat rate input at one face, insulated at the other, and with no thermal resistance at the interface . his solutions were for the three particular cases.. i propose here to give the general solution to this problem, to indicate briefly how it is obtained using the method of reference 2, and to point out that the solutions given by wassermann are incomplete for times longer than the duration of the heat input .",one dimension transient heat flow multilay slab recent contribut reader forum wassermann gave analyt solut temperatur doubl layer slab triangular heat rate input one face insul thermal resist interfac solut three particular case propos give gener solut problem indic briefli obtain use method refer point solut given wassermann incomplet time longer durat heat input
7,the effect of controlled three-dimensional roughness on boundary layer transition at supersonic speeds .,"the effect of controlled three-dimensional roughness on boundary layer transition at supersonic speeds . experiments were performed in the 12-in. supersonic wind tunnel of the jet propulsion laboratory of the california institute of technology to investigate the effect of three-dimensional roughness elements (spheres) on boundary-layer transition on a tained at local mach numbers of 1.90, 2.71, and 3.67 by varying trip size, position, spacing, and reynolds number per inch . the results indicate that (1) transition from laminar to turbulent flow induced by three-dimensional roughness elements begins when the double row of spiral vortices trailing each element contaminates and breaks down the surrounding field of vorticity, (2) transition appears rather suddenly, becoming more violent with increasing roughness height relative to the boundary-layer thickness, (3) after the breakdown of the vorticity field, the strength of the spiral vortices may still persist in the sublayer of the ensuing turbulent flow, (4) lateral spacing of roughness elements has little effect upon the initial breakdown (contamination) of the laminar flow, and (5) the trip reynolds number where u and v are the velocity and kinematic viscosity at the outer edge of the boundary layer and k is roughness height, such that transition occurs at the roughness position, varies as the position reynolds number to the one-fourth power, viz., where x is trip position .",effect control three dimension rough boundari layer transit superson speed experi perform 12 superson wind tunnel jet propuls laboratori california institut technolog investig effect three dimension rough element sphere boundari layer transit tain local mach number 90 71 67 vari trip size posit space reynold number per inch result indic transit laminar turbul flow induc three dimension rough element begin doubl row spiral vortic trail element contamin break surround field vortic transit appear rather suddenli becom violent increas rough height rel boundari layer thick breakdown vortic field strength spiral vortic may still persist sublay ensu turbul flow later space rough element littl effect upon initi breakdown contamin laminar flow trip reynold number veloc kinemat viscos outer edg boundari layer rough height transit occur rough posit vari posit reynold number one fourth power viz trip posit
8,measurements of the effect of two-dimensional and three-dimensional roughness elements on boundary layer transition .,"measurements of the effect of two-dimensional and three-dimensional roughness elements on boundary layer transition . in his study of the effect of roughness on transition, h. l. dryden found, on the basis of available data, that the effect of a two-dimensional roughness element such as a /trip wire/ could be represented reasonably well in terms of a functional relation between and, where is the reynolds number of transition based on distance from the leading edge, is the height of the roughness element, and is the boundary-layer displacement thickness at the position of the element . at his suggestion some additional data were obtained, primarily to extend the range to higher values of, during the course of an investigation of transition on a flat plate conducted at the national bureau of standards . after the results on the two- dimensional roughness elements were obtained, it appeared to be desirable to see whether a row of three-dimensional roughness elements would behave in the same way .",measur effect two dimension three dimension rough element boundari layer transit studi effect rough transit dryden found basi avail data effect two dimension rough element trip wire could repres reason well term function relat reynold number transit base distanc lead edg height rough element boundari layer displac thick posit element suggest addit data obtain primarili extend rang higher valu cours investig transit flat plate conduct nation bureau standard result two dimension rough element obtain appear desir see whether row three dimension rough element would behav way
9,transition studies and skin friction measurements on an insulated flat plate at a mach number of 5.8 .,"transition studies and skin friction measurements on an insulated flat plate at a mach number of 5.8 . an investigation of transition and skin friction on an insulated flat plate, 5 by 26 in., was made in the galcit 5 by 5 in. hypersonic wind tunnel at a nominal mach number of 5.8 . the phosphorescent lacquer technique was used for transition detection and was found to be in good agreement with total-head rake measurements along the plate surface and pitot boundary- layer surveys . it was found that the boundary layer was laminar at reynolds numbers of at least 5 x 10 . transverse contamination caused by the turbulent boundary layer on the tunnel sidewall originated far downstream of the flat plate leading edge at reynolds numbers of 1.5 to 2 x 10, and spread at a uniform angle of 5 compared to 9 degree in low-speed flow . the effect of two-dimensional and local disturbances was investigated . the technique of air injection into the boundary layer as a means of hastening transition was extensively used . although the onset of transition occurred at reynolds numbers as low as 10, a fully developed turbulent boundary layer was not obtained at reynolds numbers much below 2 x 10 regardless of the amount of air injected . a qualitative discussion of these results is given with emphasis on the possibility of a greater stability of the laminar boundary layer in hypersonic flow than at lower speeds . direct skin-friction measurements were made by means of the floating element technique, over a range of reynolds numbers verified as being laminar over the complete range . with air injection, turbulent shear was obtained only for reynolds numbers greater than 2 x 10, this value being in good agreement with earlier results of this investigation . the turbulent skin-friction coefficient was found to be approximately 0.40 of that for incompressible flow for a constant value of r, and 0.46 for an effective reynolds number between 5 and 6 x 10 .",transit studi skin friction measur insul flat plate mach number investig transit skin friction insul flat plate 26 made galcit hyperson wind tunnel nomin mach number phosphoresc lacquer techniqu use transit detect found good agreement total head rake measur along plate surfac pitot boundari layer survey found boundari layer laminar reynold number least 10 transvers contamin caus turbul boundari layer tunnel sidewal origin far downstream flat plate lead edg reynold number 10 spread uniform angl compar degre low speed flow effect two dimension local disturb investig techniqu air inject boundari layer mean hasten transit extens use although onset transit occur reynold number low 10 fulli develop turbul boundari layer obtain reynold number much 10 regardless amount air inject qualit discuss result given emphasi possibl greater stabil laminar boundari layer hyperson flow lower speed direct skin friction measur made mean float element techniqu rang reynold number verifi laminar complet rang air inject turbul shear obtain reynold number greater 10 valu good agreement earlier result investig turbul skin friction coeffici found approxim 40 incompress flow constant valu 46 effect reynold number 10
10,the theory of the impact tube at low pressure .,the theory of the impact tube at low pressure . a theoretical analysis has been made for an impact tube of the relation between free-stream mach number and the impact and free-stream pressures and densities for extremely low pressures . it is shown that the results differ appreciably from the corresponding continuum relations .,theori impact tube low pressur theoret analysi made impact tube relat free stream mach number impact free stream pressur densiti extrem low pressur shown result differ appreci correspond continuum relat
